Player,Team,MPG,True Usage,Shot Usage,Assist Usage,Turnover Usage,True TO%,Time of Possession%,Shot/Touch %,% Touches Ending Possession
Paul Pierce,WAS,26.2,0.283286264441592,0.19214377406932,0.0675224646983312,0.023620025673941,0.0833786478158419,0.0419847328244275,0.403624204508683,0.453241290044224
Elton Brand,ATL,13.5,0.188274428274428,0.109272349272349,0.0602910602910603,0.0187110187110187,0.0993816254416961,0.0298507462686567,0.222900763358779,0.261068702290076
Andre Miller,SAC,20.7,0.415588932806324,0.130213438735178,0.239525691699605,0.0458498023715415,0.110324887772959,0.217391304347826,0.132945924132365,0.179757869249395
Andre Miller,WAS,12.4,0.40735516372796,0.133635600335852,0.235096557514694,0.0386230058774139,0.0948140819523456,0.209677419354839,0.111059939990231,0.143158188542321
Shawn Marion,CLE,19.3,0.192430939226519,0.129815837937385,0.0474217311233886,0.0151933701657459,0.0789549239161642,0.0310880829015544,0.296207584830339,0.33087509192142
Jason Terry,HOU,21.3,0.261807546066101,0.136624744077216,0.103539046504826,0.0216437554840597,0.0826704799356511,0.0938967136150235,0.203573607600453,0.235823237165519
Manu Ginobili,SAS,22.7,0.436470221390708,0.211649516682258,0.176800748362956,0.0480199563454942,0.110018860376064,0.110132158590308,0.233090659340659,0.285975274725275
Andrea Bargnani,NYK,27.1,0.360876288659794,0.262938144329897,0.0708762886597938,0.0270618556701031,0.0749892872446793,0.051660516605166,0.413874239350913,0.456470588235294
LaMarcus Aldridge,POR,35.4,0.397915593421835,0.311923915197147,0.0618189023182088,0.0241727759064791,0.0607485012050113,0.0564971751412429,0.538178586079584,0.579885136059073
Randy Foye,DEN,21.7,0.336687444345503,0.189759572573464,0.120213713268032,0.0267141585040071,0.0793440888653795,0.091743119266055,0.312234432234432,0.356190476190476
Rudy Gay,SAC,35.4,0.395973263115252,0.261073526433057,0.0978326919181689,0.0370670447640267,0.0936099686943711,0.0790960451977401,0.409388895947148,0.467513657730911
JJ Redick,LAC,30.9,0.286508779093508,0.209742752143732,0.0573703552470396,0.0193956717027358,0.0676966051933985,0.0355987055016181,0.380658070253446,0.415858900251964
Thabo Sefolosha,ATL,18.8,0.234587869362364,0.142312078797304,0.0725764644893727,0.0196993260756869,0.0839741889861222,0.0483870967741935,0.228538128538129,0.26017316017316
Shawne Williams,MIA,21,0.205175936435868,0.144449489216799,0.0476730987514188,0.0130533484676504,0.0636202699712326,0.0334928229665072,0.316095380029806,0.344659711872827
Rajon Rondo,BOS,31.8,0.517249829816201,0.146929884275017,0.31926480599047,0.0510551395507148,0.0987049905243209,0.20440251572327,0.127580092209481,0.171911573472042
Rajon Rondo,DAL,28.7,0.44445765230312,0.172169390787519,0.222139673105498,0.050148588410104,0.11283097084782,0.181184668989547,0.174621354833848,0.225484138346771
Kyle Lowry,TOR,34.5,0.463386897404203,0.24315615986815,0.184590028842192,0.0356407086938607,0.0769135012092759,0.185507246376812,0.244719054530375,0.280588845117147
Jordan Farmar,LAC,14.7,0.331616541353383,0.153045112781955,0.148496240601504,0.0300751879699248,0.0906926652306995,0.163265306122449,0.163888888888889,0.19609500805153
Joel Freeland,POR,12.8,0.188206785137318,0.130856219709208,0.0387722132471729,0.018578352180937,0.0987124463519313,0.03125,0.45,0.513888888888889
PJ Tucker,PHX,30.6,0.214445357436319,0.135357436318817,0.05936729663106,0.0197206244864421,0.0919610698137788,0.0392156862745098,0.287336473050759,0.329199372056515
Paul Millsap,ATL,32.7,0.351694985495234,0.223431413178616,0.0938665561541649,0.0343970161624534,0.097803544494721,0.0644171779141104,0.346736124509615,0.40011576307158
Ryan Hollins,SAC,9.6,0.177385474860335,0.118167597765363,0.0312849162011173,0.0279329608938547,0.157470395565634,0.03125,0.376906628652887,0.46600142551675
Lou Amundson,NYK,20.9,0.287800237812128,0.165921521997622,0.0879904875148633,0.0338882282996433,0.117749132374814,0.0476190476190476,0.342051722024758,0.411913224659885
Jose Juan Barea,DAL,17.7,0.436482707873436,0.212420897718911,0.198307579102281,0.0257542310522443,0.0590040122728345,0.180790960451977,0.221839698762776,0.24873587950511
